iter	Passed	Remaining
0	1	183
1	3	150
2	4	137
3	5	126
4	7	135
5	8	132
6	9	128
7	10	125
8	12	123
9	13	121
10	14	119
11	16	117
12	17	115
13	18	115
14	20	113
15	21	111
16	22	110
17	23	108
18	25	106
19	26	105
20	27	103
21	28	101
22	29	100
23	31	98
24	32	97
25	33	96
26	35	94
27	36	93
28	37	92
29	38	90
30	39	88
31	41	87
32	42	85
33	43	84
34	44	83
35	46	82
36	47	81
37	49	80
38	51	79
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	58	70
45	59	69
46	60	68
47	62	67
48	63	65
49	64	64
50	65	63
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	74	54
58	75	52
59	77	51
60	78	50
61	79	48
62	81	47
63	82	46
64	83	44
65	84	43
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	94	33
74	96	32
75	97	30
76	98	29
77	100	28
78	101	26
79	102	25
80	103	24
81	104	23
82	106	21
83	107	20
84	108	19
85	109	17
86	111	16
87	112	15
88	114	14
89	115	12
90	117	11
91	118	10
92	119	8
93	120	7
94	121	6
95	122	5
96	124	3
97	125	2
98	126	1
99	127	0
