iter	Passed	Remaining
0	152	152641
1	157	78809
2	160	53325
3	162	40550
4	165	32913
5	167	27799
6	170	24191
7	172	21431
8	175	19304
9	177	17594
10	180	16189
11	182	15026
12	184	14022
13	186	13163
14	189	12413
15	192	11817
16	194	11244
17	196	10735
18	198	10272
19	201	9860
20	203	9494
21	206	9175
22	208	8867
23	210	8578
24	213	8314
25	215	8067
26	217	7851
27	220	7664
28	223	7476
29	225	7295
30	227	7124
31	230	6961
32	232	6813
33	235	6686
34	237	6553
35	239	6426
36	242	6302
37	244	6187
38	247	6099
39	250	6009
40	252	5912
41	255	5828
42	258	5744
43	260	5657
44	262	5575
45	265	5503
46	267	5424
47	269	5348
48	272	5280
49	274	5212
50	276	5147
51	279	5093
52	281	5034
53	283	4974
54	286	4914
55	288	4858
56	290	4803
57	292	4756
58	295	4712
59	297	4661
60	299	4613
61	301	4565
62	303	4520
63	306	4479
64	308	4443
65	311	4405
66	313	4367
67	315	4329
68	318	4292
69	320	4259
70	323	4227
71	325	4198
72	327	4163
73	330	4129
74	332	4095
75	334	4063
76	336	4033
77	338	4005
78	341	3978
79	343	3951
80	345	3923
81	348	3898
82	349	3859
83	351	3834
84	354	3814
85	356	3790
86	358	3766
87	361	3742
88	363	3718
89	365	3695
90	367	3675
91	370	3654
92	372	3631
93	374	3611
94	376	3590
95	379	3569
96	381	3549
97	384	3536
98	386	3518
99	389	3501
100	391	3482
101	393	3465
102	395	3446
103	398	3433
104	401	3423
105	403	3406
106	406	3389
107	408	3371
108	410	3354
109	412	3340
110	415	3328
111	417	3312
112	419	3295
113	422	3280
114	424	3264
115	426	3248
116	427	3228
117	431	3226
118	433	3212
119	436	3197
120	438	3186
121	440	3170
122	442	3158
123	445	3147
124	447	3134
125	450	3121
126	451	3104
127	453	3090
128	457	3090
129	460	3079
130	462	3066
131	464	3052
132	466	3039
133	468	3025
134	470	3012
135	472	2999
136	474	2987
137	476	2976
138	478	2964
139	480	2950
140	482	2938
141	483	2920
142	485	2908
143	487	2895
144	489	2884
145	491	2875
146	493	2864
147	495	2853
148	497	2843
149	500	2833
150	502	2823
151	504	2814
152	507	2807
153	509	2801
154	512	2793
155	514	2783
156	516	2773
157	518	2765
158	521	2758
159	523	2750
160	524	2735
161	526	2725
162	529	2721
163	532	2713
164	534	2703
165	536	2695
166	538	2685
167	540	2675
168	542	2666
169	544	2657
170	546	2648
171	548	2639
172	550	2631
173	552	2624
174	555	2616
175	557	2608
176	559	2600
177	561	2591
178	563	2583
179	565	2574
180	567	2567
181	569	2559
182	571	2552
183	573	2544
184	575	2536
185	577	2527
186	579	2519
187	581	2510
188	583	2503
189	585	2496
190	587	2489
191	589	2481
192	591	2474
193	593	2467
194	596	2460
195	598	2454
196	600	2448
197	602	2441
198	604	2434
199	607	2429
200	610	2425
201	613	2422
202	615	2417
203	618	2413
204	621	2409
205	623	2403
206	625	2396
207	627	2391
208	630	2385
209	632	2380
210	635	2374
211	637	2368
212	639	2362
213	641	2355
214	644	2351
215	646	2346
216	648	2340
217	650	2333
218	652	2327
219	654	2320
220	656	2314
221	659	2312
222	661	2306
223	663	2299
224	665	2293
225	668	2287
226	669	2281
227	672	2275
228	674	2271
229	676	2264
230	678	2259
231	680	2253
232	682	2247
233	684	2241
234	686	2235
235	690	2234
236	692	2229
237	694	2223
